"","work_year","experience_level","employment_type","job_title","salary_in_usd","remote_ratio","company_location","company_size"
"1",2022,3,2,"Data Analyst",144000,3,"US",2
"2",2022,3,2,"Data Analyst",113000,3,"US",2
"3",2022,1,2,"AI Scientist",31981,3,"ES",2
"4",2022,3,2,"Data Architect",195400,3,"US",3
"5",2022,3,2,"Data Architect",131300,3,"US",3
"6",2022,3,2,"Machine Learning Engineer",195400,3,"US",3
"7",2022,3,2,"Machine Learning Engineer",131300,3,"US",3
"8",2022,3,2,"Data Architect",195400,3,"US",3
"9",2022,3,2,"Data Architect",131300,3,"US",3
"10",2022,3,2,"Data Architect",190000,3,"US",2
"11",2022,3,2,"Data Architect",135000,3,"US",2
"12",2022,3,2,"Data Engineer",135000,3,"US",2
"13",2022,3,2,"Data Engineer",80000,3,"US",2
"14",2022,1,2,"BI Data Analyst",8191,3,"IN",2
"15",2022,3,2,"Data Engineer",160000,3,"US",2
"16",2022,3,2,"Data Engineer",85000,3,"US",2
"17",2022,3,2,"Data Engineer",178800,3,"US",3
"18",2022,3,2,"Data Engineer",132100,3,"US",3
"20",2022,3,2,"Machine Learning Engineer",63963,2,"FI",1
"21",2022,1,2,"Business Data Analyst",50000,3,"AS",3
"22",2022,3,2,"Data Engineer",140000,3,"US",2
"23",2022,3,2,"Data Engineer",105000,3,"US",2
"24",2022,2,2,"Data Engineer",81946,3,"GB",2
"25",2022,2,2,"Data Engineer",69339,3,"GB",2
"26",2022,3,2,"Analytics Engineer",190000,3,"US",2
"27",2022,3,2,"Analytics Engineer",140000,3,"US",2
"28",2022,2,2,"Data Operations Engineer",100000,3,"US",2
"29",2022,2,2,"Data Operations Engineer",60000,3,"US",2
"30",2022,3,2,"Data Scientist",180000,3,"US",3
"31",2022,3,2,"Data Scientist",165000,3,"US",3
"32",2022,3,2,"Applied Machine Learning Scientist",108000,1,"US",3
"33",2021,1,2,"Machine Learning Research Engineer",20000,2,"FR",2
"34",2022,3,2,"Data Architect",190000,3,"US",2
"35",2022,3,2,"Data Architect",135000,3,"US",2
"36",2022,3,2,"Data Scientist",179400,1,"US",2
"37",2022,3,2,"Data Scientist",154000,1,"US",2
"38",2022,3,2,"Machine Learning Scientist",193900,1,"US",2
"39",2022,3,2,"Machine Learning Scientist",129300,1,"US",2
"40",2022,4,2,"Data Science Manager",222640,1,"US",2
"41",2022,4,2,"Data Science Manager",182160,1,"US",2
"42",2022,2,2,"Data Engineer",150000,1,"US",2
"43",2022,2,2,"Data Engineer",100000,1,"US",2
"44",2022,3,2,"Analytics Engineer",122500,3,"US",2
"45",2022,3,2,"Analytics Engineer",100000,3,"US",2
"46",2022,4,2,"Data Engineer",297500,3,"US",2
"47",2022,4,2,"Data Engineer",260000,3,"US",2
"48",2021,1,2,"Machine Learning Developer",15000,3,"TH",3
"49",2022,3,2,"Data Engineering Manager",193000,3,"US",2
"50",2022,1,2,"Data Scientist",93000,1,"US",2
"51",2022,1,2,"Data Scientist",73000,1,"US",2
